City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
149,noumea,0,NC,1528914600,93,-22.28,166.46,60.8,9.19
150,victoria,75,BN,1528912800,94,5.28,115.24,80.6,1.12
151,mao,40,DO,1528912800,46,19.55,-71.08,93.2,19.46
152,wakkanai,92,JP,1528916317,100,45.41,141.67,45.7,19.26
153,vredendal,0,ZA,1528916317,32,-31.68,18.49,69.1,8.41
154,kaduna,56,NG,1528916020,93,10.52,7.44,73.33,0.36
155,morgan city,75,US,1528915620,74,29.7,-91.21,87.8,10.29
156,sisimiut,20,GL,1528916318,97,66.94,-53.67,34.54,2.15
157,saint anthony,1,US,1528912560,28,43.97,-111.68,75.2,5.82
158,souillac,75,FR,1528914600,68,45.6,-0.6,69.8,8.05
159,hualmay,8,PE,1528916320,75,-11.1,-77.61,69.28,6.29
160,vilyuysk,0,RU,1528916320,70,63.75,121.63,49.93,3.15
161,fukue,20,JP,1528912800,72,35.03,136.69,66.2,9.17
162,huarmey,0,PE,1528915927,48,-10.07,-78.15,76.48,4.83
163,bam,44,IR,1528916321,17,29.11,58.36,85.48,5.73
164,prescott,1,US,1528914780,6,34.54,-112.47,91.4,12.75
165,kavieng,92,PG,1528915815,100,-2.57,150.8,79.9,7.4
166,ola,90,RU,1528912800,100,59.58,151.3,42.8,6.96
167,vanimo,80,PG,1528915966,100,-2.67,141.3,80.26,4.5
168,toronto,20,CA,1528912800,73,43.65,-79.39,84.2,17.22
169,anupgarh,0,IN,1528916322,41,29.19,73.21,87.82,6.4
170,lavrentiya,12,RU,1528916322,76,65.58,-170.99,37.96,10.76
171,moron,40,VE,1528912800,66,10.49,-68.2,84.2,5.82
172,misratah,0,LY,1528916111,84,32.38,15.09,74.95,12.21
173,auce,80,LV,1528916323,59,56.47,22.9,64.6,6.4
174,bocas del toro,0,PA,1528916323,100,9.33,-82.25,82.69,5.95
175,cabo san lucas,90,MX,1528912200,66,22.89,-109.91,87.8,11.41
176,chikwawa,56,MW,1528916323,94,-16.03,34.79,63.97,3.6
177,santa fe,0,AR,1528915985,79,-31.62,-60.7,51.46,8.97
178,rakiv lis,20,UA,1528916323,65,51.62,24.92,69.1,3.94
179,lompoc,1,US,1528914900,30,34.64,-120.46,86.0,8.05
180,katsuura,0,JP,1528915930,95,33.93,134.5,59.47,6.17
181,tomatlan,100,MX,1528916323,100,19.93,-105.25,74.32,5.28
182,dayong,68,PH,1528916324,100,11.74,122.04,82.33,16.46
183,nishihara,90,JP,1528912800,77,35.74,139.53,68.0,2.37
184,mazyr,76,BY,1528916324,42,52.05,29.27,74.86,3.04
185,orlik,64,RU,1528915893,93,52.51,99.83,44.53,1.92
186,tuatapere,0,NZ,1528915923,100,-46.13,167.69,38.05,2.82
187,dikson,68,RU,1528915886,100,73.51,80.55,30.49,15.68
188,lebu,80,ET,1528915955,96,8.96,38.73,52.72,2.59
189,dalian,20,CN,1528912800,70,19.86,110.11,84.2,11.18
190,mayor pablo lagerenza,36,PY,1528916324,51,-19.93,-60.77,62.98,12.1
191,new norfolk,20,AU,1528914600,81,-42.78,147.06,42.8,5.82
192,salekhard,100,RU,1528916325,81,66.54,66.62,43.81,14.34
193,fort nelson,90,CA,1528912800,93,58.81,-122.69,41.0,2.24
194,boa vista,75,BR,1528916400,74,2.82,-60.67,86.0,6.93
195,moskovskiy,0,RU,1528912800,67,55.6,37.35,59.0,11.18
196,matay,0,EG,1528916326,39,28.42,30.79,84.04,3.6
197,mugur-aksy,68,RU,1528916326,96,50.38,90.44,44.98,1.59
198,hambantota,32,LK,1528916000,100,6.12,81.12,79.0,10.42
199,bandarbeyla,0,SO,1528915929,81,9.49,50.81,78.28,31.79
200,abu ghosh,0,IL,1528914000,73,31.81,35.11,77.0,3.36
201,the pas,20,CA,1528912800,42,53.82,-101.24,66.2,13.87
202,longyearbyen,90,NO,1528912200,80,78.22,15.63,33.8,18.34
203,chilca,75,PE,1528914600,44,-13.22,-72.34,57.2,11.41
204,nargana,12,PA,1528916327,100,9.44,-78.59,80.98,4.16
205,toppenish,75,US,1528914420,28,46.38,-120.31,73.4,19.46
206,itaperuna,12,BR,1528916327,62,-21.2,-41.89,82.6,3.94
207,saint-pierre,0,FR,1528914600,72,48.95,4.24,62.6,10.29
208,leningradskiy,0,RU,1528915939,93,69.38,178.42,33.73,19.82
209,nizhnevartovsk,40,RU,1528912800,81,60.93,76.58,53.6,11.18
210,lasa,20,CY,1528914600,83,34.92,32.53,77.0,5.82
211,merauke,0,ID,1528916331,94,-8.49,140.4,75.22,14.45
212,vila do maio,20,CV,1528912800,54,15.13,-23.22,80.6,16.11
213,buraydah,0,SA,1528912800,18,26.33,43.97,93.2,3.36
214,khuzhir,0,RU,1528916332,85,53.19,107.35,47.86,2.93
215,lodja,0,CD,1528916332,31,-3.52,23.6,82.51,4.72
216,paternion,75,AT,1528914000,93,46.71,13.64,62.6,3.36
217,saskylakh,92,RU,1528915893,90,71.97,114.09,54.79,4.94
218,luderitz,12,NA,1528915909,78,-26.65,15.16,59.29,15.68
219,touros,0,BR,1528915908,67,-5.2,-35.46,84.13,19.48
220,maraa,36,BR,1528916332,75,-1.83,-65.37,86.2,3.38
221,tasiilaq,90,GL,1528912200,69,65.61,-37.64,37.4,3.36
222,chino valley,1,US,1528914900,6,34.76,-112.45,91.4,12.75
223,sohag,0,EG,1528916332,29,26.55,31.7,82.78,5.06
224,uglegorsk,68,RU,1528916333,90,49.08,142.06,40.75,8.19
225,sur,0,OM,1528916333,87,22.57,59.53,87.91,7.74
226,zaykovo,92,RU,1528916333,96,57.56,62.76,54.16,8.52
